Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Densenet,88.57142925262451,0.3038322031497955,86.66666746139526,0.3463142514228821,755.4152917861938,4.217359304428101,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(2),87.85714507102966,0.3157847225666046,86.00000143051147,0.3637738823890686,444.6562824249268,5.5073089599609375,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(1),90.71428775787354,0.313927412033081,84.6666693687439,0.3784287869930267,575.5918107032776,5.469902992248535,0.0,0.0,0.5
Densenet+GlobalAveragePooling+Dense,91.42857193946838,0.3098224103450775,84.6666693687439,0.3658739924430847,661.2351474761963,6.135060548782349,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,89.99999761581421,0.3148888945579529,86.00000143051147,0.3711435794830322,537.4383482933044,6.146787405014038,0.0,0.0,0.5
Densenet+LSTM+Dense,88.57142925262451,0.3273262977600097,85.66666841506958,0.3776778280735016,686.3309807777405,6.315067291259766,0.0,0.0,0.5
Densenet+GRU+Dense,89.28571343421936,0.3192326426506042,85.66666841506958,0.3647894263267517,729.2261700630188,5.611697673797607,0.0,0.0,0.5
Densenet+Attention Mechanism+Dense,52.14285850524902,0.8160531520843506,48.66666793823242,1.0216633081436155,203.4898166656494,5.490190982818604,0.0,0.0,0.5
Densenet+Capsule Network+Dense,89.28571343421936,0.3308349549770355,82.33333230018616,0.4350495934486389,424.86496686935425,6.448948383331299,0.0,0.0,0.5
