Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,83.57142806053162,0.3130736351013183,82.66666531562805,0.3715471029281616,68.94318652153015,4.994723320007324,0.6533333333333333,0.6535657535944505,0.8266666666666667
Resnet+Dense+Dropout,84.28571224212646,0.3207651078701019,82.99999833106995,0.3740435838699341,82.41113042831421,5.104554891586304,0.6599999999999999,0.6600146671555737,0.8300000000000001
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,86.42857074737549,0.2691175937652588,86.00000143051147,0.3311370313167572,71.48315858840942,5.13227653503418,0.72,0.7200640085345977,0.8600000000000001
ResNet+LSTM+Dense,81.42856955528259,0.3552082479000091,77.33333110809326,0.445548951625824,134.00164151191711,5.212331056594849,0.5466666666666666,0.5471045255007144,0.7733333333333333
ResNet+GRU+Dense,77.85714268684387,0.4119481444358825,76.33333206176758,0.446233183145523,92.81741523742676,5.200866460800171,0.5266666666666666,0.5319051324707947,0.7633333333333334
ResNet+Attention Mechanism+Dense,84.28571224212646,0.4346004128456116,84.33333039283752,0.4032405316829681,105.7099142074585,5.132826328277588,0.6866666666666666,0.6866819264345867,0.8433333333333333
ResNet+Capsule Network+Dense,84.28571224212646,0.3828318119049072,81.00000023841858,0.4222739636898041,83.20157146453857,5.146637439727783,0.62,0.6250344405344349,0.81
