Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Densenet,87.14285492897034,0.3003503382205963,87.00000047683716,0.3446824252605438,179.49086570739746,4.488317966461182,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(2),91.42857193946838,0.3379592895507812,83.99999737739563,0.4376215040683746,154.46967458724976,4.481879711151123,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(1),89.28571343421936,0.3218301832675934,84.33333039283752,0.3661236763000488,154.59596514701843,4.343585252761841,0.0,0.0,0.5
Densenet+GlobalAveragePooling+Dense,87.14285492897034,0.2995396852493286,86.00000143051147,0.3400179743766784,220.55317664146423,4.451977729797363,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,89.28571343421936,0.317361056804657,87.33333349227905,0.3807216584682464,199.1576669216156,4.4785332679748535,0.0,0.0,0.5
Densenet+LSTM+Dense,89.99999761581421,0.3393861055374145,85.00000238418579,0.4333663284778595,285.9831771850586,4.476402044296265,0.0,0.0,0.5
Densenet+GRU+Dense,89.28571343421936,0.3226695954799652,85.66666841506958,0.3670599162578583,153.85017657279968,4.484161138534546,0.0,0.0,0.5
Densenet+Attention Mechanism+Dense,52.14285850524902,0.7989091873168945,48.66666793823242,0.9789636135101318,132.5354244709015,4.446270227432251,0.0,0.0,0.5
Densenet+Capsule Network+Dense,85.00000238418579,0.3438926041126251,83.66666436195374,0.3990107476711273,209.9795844554901,5.54242467880249,0.0,0.0,0.5
