Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,85.00000238418579,0.3409991860389709,84.6666693687439,0.4185713231563568,154.43290829658508,5.25956654548645,0.6933333333333334,0.693888666488711,0.8466666666666667
Resnet+Dense+Dropout,83.57142806053162,0.3154335021972656,83.66666436195374,0.390841394662857,152.87296342849731,5.163550853729248,0.6733333333333333,0.6734680404134713,0.8366666666666667
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,85.71428656578064,0.2786540389060974,86.33333444595337,0.3208694159984588,119.28332138061523,5.161200761795044,0.7266666666666667,0.7268120436145384,0.8633333333333333
ResNet+LSTM+Dense,80.71428537368774,0.4666002690792084,76.33333206176758,0.5040410757064819,235.32975101470947,4.714590787887573,0.5266666666666666,0.5382875351045694,0.7633333333333334
ResNet+GRU+Dense,82.14285969734192,0.4327235817909241,76.33333206176758,0.4616385102272033,92.78738117218018,5.206471920013428,0.5266666666666666,0.5354117555801444,0.7633333333333334
ResNet+Attention Mechanism+Dense,82.14285969734192,0.4642545580863952,83.66666436195374,0.4147519171237945,93.35345768928528,5.147671222686768,0.6733333333333333,0.6734680404134713,0.8366666666666667
ResNet+Capsule Network+Dense,82.85714387893677,0.40406814217567444,82.33333230018616,0.43202924728393555,83.04391503334045,5.1545655727386475,0.6466666666666667,0.6470262255861179,0.8233333333333333
