Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
CNN+Dense,55.000001192092896,0.6532304883003235,56.00000000000001,0.669107861906911,39.70834541320801,0.7298672199249268,0.12,0.1200961153538153,0.56
CNN+Dense+Dropout,62.85714507102966,0.6576584577560425,62.66666666666667,0.6907357538941626,123.54669952392578,0.822735071182251,0.2533333333333333,0.2746995926839641,0.6266666666666667
CNN+GlobbalAveragePooling+Dense,44.999998807907104,0.6948756575584412,50.0,0.6932425747315089,35.41995143890381,0.7404518127441406,0.0,0.0,0.5
CNN+Conv2D+GlobalAveragePooling+Dropout+Dense,55.714285373687744,0.681155800819397,55.333333333333336,0.687745931148529,362.8747880458832,1.831315755844116,0.1066666666666666,0.1083060722147764,0.5533333333333333
CNN+LSTM+Dense,55.000001192092896,0.6873795986175537,50.0,0.6975322369734446,157.3098304271698,0.7633318901062012,0.0,0.0,0.5
CNN+GRU+Dense,55.714285373687744,0.6652273535728455,58.333333333333336,0.678394489834706,72.52428555488586,0.8918743133544922,0.1666666666666666,0.2000896602561929,0.5833333333333333
CNN+Attention Mechanism+Dense,55.714285373687744,0.677239716053009,56.333333333333336,0.6874531916280587,78.7746353149414,0.7842276096343994,0.1266666666666667,0.1327827459847763,0.5633333333333334
CNN+Capsule Network+Dense,57.85714387893677,0.6536532044410706,61.33333333333333,0.651773880024751,101.99370455741882,0.769885778427124,0.22666666666666668,0.25241339513951194,0.6133333333333333
