Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Densenet,88.57142925262451,0.3007675111293793,86.00000143051147,0.3541672229766845,248.53280568122864,4.560728788375855,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(2),88.57142925262451,0.3241617679595947,86.33333444595337,0.379377007484436,132.63729643821716,4.437673330307007,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(1),87.14285492897034,0.3228514194488525,85.00000238418579,0.3763348758220672,176.61650800704956,4.445308208465576,0.0,0.0,0.5
Densenet+GlobalAveragePooling+Dense,87.85714507102966,0.2990669012069702,86.00000143051147,0.3463753759860992,177.07233834266663,4.472493886947632,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,89.99999761581421,0.319140076637268,85.33333539962769,0.437393456697464,310.21410632133484,4.469435930252075,0.0,0.0,0.5
Densenet+LSTM+Dense,87.85714507102966,0.338334709405899,86.00000143051147,0.4293680787086487,132.0042064189911,4.490736484527588,0.0,0.0,0.5
Densenet+GRU+Dense,86.42857074737549,0.3301917612552643,86.33333444595337,0.3638743758201599,175.88729190826416,4.471501350402832,0.0,0.0,0.5
Densenet+Attention Mechanism+Dense,50.71428418159485,0.8147904276847839,52.66666412353516,0.8062949180603027,242.26064920425412,4.465932607650757,0.0,0.0,0.5
Densenet+Capsule Network+Dense,84.28571224212646,0.41778892278671265,83.33333134651184,0.4471416771411896,210.48417830467224,5.5621888637542725,0.0,0.0,0.5
