Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
MObilenet+Dense,86.42857074737549,0.3562793731689453,85.66666841506958,0.3602470457553863,24.020097970962524,2.17805814743042,0.7133333333333334,0.7251779474313348,0.8566666666666667
MobileNet+Dense+Dropout,55.714285373687744,0.6923938989639282,53.33333611488342,0.693088948726654,58.54942107200623,2.207871437072754,0.0666666666666666,0.0766424174356207,0.5333333333333333
MobileNet+Conv2D+GlobalAveragePooling+Dropout+Dense,44.999998807907104,0.6938208937644958,50.0,0.6932064294815063,21.0298593044281,2.1966052055358887,0.0,0.0,0.5
MobileNet+LSTM+Dense,55.000001192092896,0.6905909776687622,50.0,0.6932294964790344,44.04028248786926,2.2855775356292725,0.0,0.0,0.5
MobileNet+GRU+Dense,55.000001192092896,0.6877833604812622,50.0,0.6952725648880005,53.27074790000916,2.237079381942749,0.0,0.0,0.5
MobileNet+Attention Mechanism +Dense,55.000001192092896,0.6875790357589722,50.0,0.6957723498344421,41.11257004737854,2.2443490028381348,0.0,0.0,0.5
MobileNet+Capsule Network+Dense,82.85714387893677,0.3770364820957184,86.00000143051147,0.348311185836792,34.826345920562744,2.185112714767456,0.72,0.7310659874497412,0.86
