Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,86.42857074737549,0.3543094396591186,87.00000047683716,0.3867094814777374,174.18332695961,12.586300373077393,0.739930648172846,0.7403422833257314,0.8698831059158185
Resnet+Dense+Dropout,85.71428656578064,0.3382163643836975,84.6666693687439,0.3574815690517425,312.0360558032989,12.69013524055481,0.6930331880060503,0.6999401131322163,0.8461931641406285
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,84.28571224212646,0.3760197460651397,87.00000047683716,0.3306954205036163,292.3309864997864,12.586682319641112,0.7396992079736584,0.7502167318758584,0.8694386417174096
ResNet+LSTM+Dense,82.4999988079071,0.4159541726112366,81.00000023841858,0.4389482736587524,344.534524679184,12.766184329986572,0.6201856869974679,0.6221779005139073,0.8102582336992756
ResNet+GRU+Dense,80.0000011920929,0.413627564907074,79.16666865348816,0.4528994262218475,287.86460852622986,12.733373880386353,0.5838050209762269,0.5931129706745956,0.7922463220587581
Resnet+Dense+Dropout,86.42857074737549,0.3563170135021209,83.49999785423279,0.3645754158496856,491.3296692371368,11.82798457145691,0.6698018811286772,0.6721425883827031,0.8347148762167207
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,87.85714507102966,0.3487557172775268,85.50000190734863,0.3812424838542938,175.97192668914795,12.631722450256348,0.7098775038349525,0.7110209715863627,0.8548046579847993
ResNet+LSTM+Dense,83.92857313156128,0.3942700028419494,79.50000166893005,0.4134340286254883,421.6464149951935,12.87740421295166,0.5901548303974055,0.5913410921052175,0.7952020089781768
ResNet+GRU+Dense,82.85714387893677,0.4146885871887207,83.1666648387909,0.398258239030838,215.8581182956696,13.165258407592772,0.6631911251417265,0.6642593906671506,0.8314702875683364
ResNet+Attention Mechanism+Dense,87.14285492897034,0.3819120824337005,85.16666889190674,0.4281236231327057,206.3845224380493,12.651602268218994,0.7033135542369491,0.7033174620880676,0.8516489621760968
ResNet+Capsule Network+Dense,87.14285492897034,0.3446144461631775,85.00000238418579,0.36734646558761597,319.2910487651825,12.750473260879517,0.6999333185152257,0.7001824272637183,0.8499044401973421
