Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Densenet,88.21428418159485,0.2661861181259155,89.33333158493042,0.3000262081623077,223.9833371639252,7.538624286651611,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(2),88.21428418159485,0.2790078520774841,89.66666460037231,0.348587304353714,301.5917854309082,7.592878341674805,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(1),88.21428418159485,0.2755017280578613,89.33333158493042,0.3000354170799255,263.29157400131226,7.4897849559783936,0.0,0.0,0.5
Densenet+GlobalAveragePooling+Dense,87.5,0.269398033618927,88.83333206176758,0.3037581145763397,261.49537467956543,7.506976127624512,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,87.5,0.2591274976730346,87.5,0.360813558101654,226.92968606948853,7.660472393035889,0.0,0.0,0.5
Densenet+LSTM+Dense,86.07142567634583,0.2909731566905975,88.49999904632568,0.3065766096115112,226.3347244262696,7.575416326522827,0.0,0.0,0.5
Densenet+GRU+Dense,88.21428418159485,0.266150951385498,90.16666412353516,0.2942125201225281,301.2212152481079,7.589273929595947,0.0,0.0,0.5
Densenet+Attention Mechanism+Dense,55.000001192092896,0.7331911325454712,50.0,0.7493965029716492,227.0064957141876,7.611233472824097,0.0,0.0,0.5
Densenet+Capsule Network+Dense,87.85714507102966,0.4189239740371704,89.99999761581421,0.3102113604545593,543.5263495445251,9.282800912857056,0.0,0.0,0.5
