Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,87.14285492897034,0.3536337316036224,86.33333444595337,0.368233323097229,491.5361728668213,12.890437364578249,0.7267031062524997,0.7269615585033418,0.8634161518289702
Resnet+Dense+Dropout,86.78571581840515,0.3579251766204834,83.33333134651184,0.35688316822052,494.8087916374207,12.901123523712158,0.6665925761280285,0.6668298187881522,0.8332370327570114
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,84.28571224212646,0.3734397888183594,83.66666436195374,0.3539134860038757,265.5169427394867,12.876292705535889,0.6730863318952096,0.6769543264206339,0.8363038357260323
ResNet+LSTM+Dense,78.92857193946838,0.4347571134567261,75.66666603088379,0.468723863363266,537.7484526634216,13.865196704864502,0.5129870129870131,0.5155750541010742,0.7563225032223655
ResNet+GRU+Dense,77.85714268684387,0.4779154658317566,75.16666650772095,0.4922961890697479,325.2224316596985,13.09177589416504,0.5026370251685692,0.5133924273971955,0.7509778212364995
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,84.28571224212646,0.3379870951175689,83.66666436195374,0.3758260607719421,528.8346762657166,13.035283088684082,0.6732461989863964,0.6736207365227636,0.8365482910351572
ResNet+LSTM+Dense,78.92857193946838,0.4203620254993438,77.33333110809326,0.4576500356197357,805.8748214244843,13.184184312820436,0.5462027850691817,0.5521864380288222,0.772834348193253
ResNet+GRU+Dense,80.71428537368774,0.4331678748130798,79.666668176651,0.4394843578338623,611.8064434528351,13.219411611557009,0.592880978865406,0.6006363046488109,0.7961242721898751
ResNet+Attention Mechanism+Dense,86.78571581840515,0.3681557178497314,83.49999785423279,0.4035694599151611,559.7570598125458,13.068817615509031,0.670007333170374,0.6700408345606904,0.835026001155607
ResNet+Capsule Network+Dense,84.64285731315613,0.38775864243507385,81.99999928474426,0.40654775500297546,261.5224106311798,12.92324447631836,0.6401759139976011,0.6422323418312383,0.820258678163474
