Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
MObilenet+Dense,84.28571224212646,0.3274199068546295,88.33333253860474,0.303656131029129,61.43910622596741,4.295956134796143,0.766604427847426,0.7670309020469186,0.883217031868083
MobileNet+Dense+Dropout,52.14285850524902,0.691201388835907,50.66666603088379,0.692229688167572,48.03244137763977,4.266205310821533,0.0067558498501185,0.0582183302396487,0.5033557046979866
MobileNet+Conv2D+GlobalAveragePooling+Dropout+Dense,47.85714149475098,0.6933726072311401,49.666666984558105,0.6931824088096619,48.2771475315094,4.341079473495483,0.0,0.0,0.5
MobileNet+LSTM+Dense,85.71428656578064,0.3148123025894165,88.16666603088379,0.2930759191513061,41.1337480545044,4.322048425674439,0.7632649432058151,0.7637788419778733,0.8815391795190898
MobileNet+GRU+Dense,61.07142567634583,0.6687644124031067,66.8333351612091,0.6397474408149719,52.29949402809143,4.390188694000244,0.3360912791085607,0.338681515897837,0.6679074625538912
MobileNet+Attention Mechanism +Dense,52.14285850524902,0.6924099922180176,50.333333015441895,0.6945701241493225,61.85349893569946,4.32479190826416,0.0,0.0,0.5
MobileNet+Capsule Network+Dense,52.14285850524902,0.6926190853118896,50.333333015441895,0.6932000517845154,48.70697855949402,4.532019376754761,0.0,0.0,0.5
