Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Densenet,87.14285492897034,0.2637414038181305,89.49999809265137,0.295419305562973,447.6391940116882,7.478392124176025,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(2),88.21428418159485,0.2615292072296142,88.83333206176758,0.3141423463821411,262.647260427475,7.507062196731567,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(1),87.5,0.2663377523422241,89.33333158493042,0.2884624898433685,301.0822505950928,7.55201530456543,0.0,0.0,0.5
Densenet+GlobalAveragePooling+Dense,88.21428418159485,0.263769268989563,89.83333110809326,0.28988978266716,299.5061585903168,7.577501058578491,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,88.21428418159485,0.2428078353404998,88.66666555404663,0.3073633909225464,415.5744199752808,7.530395746231079,0.0,0.0,0.5
Densenet+LSTM+Dense,86.78571581840515,0.2893747091293335,88.33333253860474,0.3081397712230682,375.2273283004761,7.538425922393799,0.0,0.0,0.5
Densenet+GRU+Dense,88.21428418159485,0.2620804607868194,89.99999761581421,0.2834451198577881,227.41235542297363,7.511306047439575,0.0,0.0,0.5
Densenet+Attention Mechanism+Dense,51.428574323654175,0.7146909832954407,47.6666659116745,0.7932512164115906,490.9629855155945,7.702867031097412,0.0,0.0,0.5
Densenet+Capsule Network+Dense,84.28571224212646,0.40357092022895813,88.83333206176758,0.3150840699672699,362.7882249355316,9.359062910079956,0.0,0.0,0.5
