Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,85.71428656578064,0.3624386489391327,85.83333492279053,0.3678370118141174,174.2843954563141,12.630220651626589,0.7167107338858401,0.7170333711287251,0.8584270412018311
Resnet+Dense+Dropout,86.42857074737549,0.3663530349731445,84.6666693687439,0.3564208745956421,203.41750502586365,12.614547729492188,0.6932924389918655,0.69335408964573,0.8466154051291168
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,86.78571581840515,0.3512193560600281,86.00000143051147,0.337162971496582,324.5214869976044,12.600817918777466,0.7198630441549202,0.7214696677472707,0.8597715454020178
ResNet+LSTM+Dense,82.85714387893677,0.4118453860282898,80.50000071525574,0.4676642417907715,462.9223837852478,12.77243185043335,0.6096964305571,0.6134247603013464,0.8046246499844437
ResNet+GRU+Dense,81.78571462631226,0.4337242543697357,79.00000214576721,0.4679729640483856,430.9449756145477,12.692822694778442,0.5800933125972005,0.5805577381980211,0.7901240055113561
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,87.85714507102966,0.3298465609550476,85.83333492279053,0.3315241932868957,323.4103844165802,12.656076431274414,0.7166099886643995,0.716805223638728,0.8582492555224677
ResNet+LSTM+Dense,81.42856955528259,0.4200933873653412,79.83333468437195,0.4668568968772888,345.02873516082764,12.7716383934021,0.5966039161647367,0.5966868208825485,0.7982688119471977
ResNet+GRU+Dense,81.78571462631226,0.4001228213310241,78.33333611488342,0.4417259693145752,358.8945407867432,12.668626070022585,0.5664739884393064,0.5674973148522815,0.7831236943864173
ResNet+Attention Mechanism+Dense,86.42857074737549,0.3631346523761749,84.6666693687439,0.4152644276618957,441.0512275695801,12.635570287704468,0.6934287110676678,0.6944164137227925,0.8468376372283213
ResNet+Capsule Network+Dense,86.78571581840515,0.3594529330730438,83.33333134651184,0.3879750072956085,234.15058588981628,12.61518120765686,0.6663849472888217,0.6712436588883682,0.8329259078181253
