Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
CNN+Dense,61.42857074737549,0.6916572451591492,63.0,0.7159059391111134,66.37305450439453,1.523151397705078,0.2613787596486558,0.2727838397082379,0.6309391528512378
CNN+Dense+Dropout,68.21428537368774,0.6622854471206665,63.16666666666667,0.7804296500417289,103.86070251464844,1.6276342868804932,0.2631204570209172,0.2632976134342571,0.6315280679141295
CNN+GlobbalAveragePooling+Dense,74.64285492897034,0.5442803502082825,67.33333333333333,0.6189978056452404,63.839959383010864,1.4292824268341064,0.3463180362860192,0.3472540219647393,0.6730743588603938
CNN+Conv2D+GlobalAveragePooling+Dropout+Dense,62.5,0.6627333760261536,57.66666666666666,0.680056910094882,340.67356300354004,3.58044695854187,0.1525800711743772,0.1538212638487792,0.5762256100271124
CNN+LSTM+Dense,52.14285850524902,0.6922808289527893,50.33333333333333,0.6934623223303303,432.21170353889465,1.52056622505188,0.0,0.0,0.5
CNN+GRU+Dense,72.50000238418579,0.6914297938346863,64.83333333333333,0.8268318574754271,78.67983865737915,1.7672650814056396,0.2976811272606235,0.3053716430373184,0.6490621805413574
CNN+Attention Mechanism+Dense,75.71428418159485,0.5111604928970337,70.0,0.6297471372323272,156.70379376411438,1.554497003555298,0.3990652125528601,0.409764095354155,0.6992310769367528
CNN+Capsule Network+Dense,76.07142925262451,0.5108584761619568,74.33333333333333,0.5482598949121043,88.5204906463623,1.4252352714538574,0.48639274279615796,0.48770730511688737,0.7430774701097826
