Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Densenet,89.28571343421936,0.2646211087703705,88.49999904632568,0.2905661463737488,902.4532251358032,11.424731254577637,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(2),88.92857432365417,0.2619893550872803,88.83333206176758,0.3056857287883758,645.4433925151825,11.15940809249878,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(1),89.28571343421936,0.260619193315506,89.16666507720947,0.2878588736057281,837.4285492897034,11.10152530670166,0.0,0.0,0.5
Densenet+GlobalAveragePooling+Dense,89.28571343421936,0.2650578916072845,89.66666460037231,0.2885394990444183,1057.4532494544983,11.094958543777466,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,87.14285492897034,0.2496445477008819,88.33333253860474,0.2960539758205414,726.5137383937836,12.18407130241394,0.0,0.0,0.5
Densenet+LSTM+Dense,86.07142567634583,0.2898532152175903,88.33333253860474,0.3022367060184479,680.0552802085876,11.379008769989014,0.0,0.0,0.5
Densenet+GRU+Dense,88.57142925262451,0.2589067220687866,90.16666412353516,0.2791423201560974,1098.263022184372,11.497375965118408,0.0,0.0,0.5
Densenet+Attention Mechanism+Dense,49.28571283817291,0.7572399377822876,49.666666984558105,0.8451686501502991,310.3414101600647,11.951659440994264,0.0,0.0,0.5
Densenet+Capsule Network+Dense,87.14285492897034,0.3739131689071655,88.49999904632568,0.3052256107330322,669.8543949127197,8.710157632827759,0.0,0.0,0.5
