Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Densenet,89.10714387893677,0.2696782350540161,89.083331823349,0.2735264003276825,1511.3549916744232,17.834048986434937,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(2),89.82142806053162,0.2705940008163452,87.08333373069763,0.2804537713527679,794.0806484222412,19.036789178848267,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(1),89.28571343421936,0.265250563621521,88.49999904632568,0.268930047750473,1084.2746925354004,18.70913791656494,0.0,0.0,0.5
Densenet+GlobalAveragePooling+Dense,88.7499988079071,0.2671079635620117,88.49999904632568,0.2747710347175598,1591.8330597877502,18.17799139022827,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,88.7499988079071,0.2759881019592285,89.24999833106995,0.259838342666626,1159.7766280174255,18.66442084312439,0.0,0.0,0.5
Densenet+LSTM+Dense,88.03571462631226,0.2724151611328125,87.08333373069763,0.2797490358352661,1364.348679304123,18.243757486343384,0.0,0.0,0.5
Densenet+GRU+Dense,88.92857432365417,0.2783350050449371,88.16666603088379,0.290868192911148,1441.5605199337006,18.171072483062744,0.0,0.0,0.5
Densenet+Attention Mechanism+Dense,53.03571224212647,0.7178358435630798,51.66666507720947,0.7368977069854736,943.7869539260864,17.954575538635254,0.0,0.0,0.5
Densenet+Capsule Network+Dense,89.28571343421936,0.2818184792995453,89.16666507720947,0.2705414593219757,2057.1793251037598,22.613276958465576,0.0,0.0,0.5
