Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,87.85714507102966,0.2718412578105926,89.083331823349,0.2743121683597564,333.6228446960449,20.55708694458008,0.7811182462726053,0.781512158024204,0.890105030096018
Resnet+Dense+Dropout,88.03571462631226,0.2713474035263061,87.99999952316284,0.2949918806552887,570.584320306778,20.62359619140625,0.7591167614586818,0.7606551021832594,0.878675775208892
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,89.28571343421936,0.2518366873264313,89.16666507720947,0.2857714891433716,481.7092189788818,20.76436877250672,0.782961957126639,0.783001242499174,0.8913372422924153
ResNet+LSTM+Dense,82.85714387893677,0.4017328917980194,81.49999976158142,0.411570131778717,535.6177160739899,21.014223337173465,0.6303162849562041,0.6314519774314893,0.8158524238142391
ResNet+GRU+Dense,77.32142806053162,0.4363581240177154,78.66666913032532,0.4684368968009949,929.8985843658448,22.06974530220032,0.5706570958977627,0.5758638402064584,0.7839317304375883
ResNet+Attention Mechanism+Dense,87.5,0.3895012438297272,87.99999952316284,0.4340894520282745,837.6110396385193,20.61881422996521,0.7586133679022831,0.7641997886966218,0.8776354877112562
ResNet+Capsule Network+Dense,88.7499988079071,0.27424079179763794,88.49999904632568,0.2971856892108917,861.3174467086792,22.35063862800598,0.7692950682641404,0.7701392754017067,0.8839884733920048
