Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,89.46428298950195,0.2821656763553619,88.99999856948853,0.3103024661540985,476.5551323890686,20.572105646133423,0.7795959258640841,0.7796654873798102,0.889607138486187
Resnet+Dense+Dropout,88.7499988079071,0.278276115655899,88.16666603088379,0.3084154725074768,476.4887554645538,20.59263777732849,0.7621121758359579,0.7662566694738308,0.87961036504634
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,89.82142806053162,0.2653095424175262,89.66666460037231,0.2952608168125152,337.67475938797,20.70437979698181,0.7926490752817632,0.7937863185305715,0.8955484595956786
ResNet+LSTM+Dense,86.78571581840515,0.3488317728042602,85.33333539962769,0.3905567824840545,735.5168075561523,21.10304093360901,0.7068100039980454,0.7076943100562557,0.8540537834199312
ResNet+GRU+Dense,79.82142567634583,0.3868816792964935,80.16666769981384,0.4257560074329376,494.55845308303833,20.84978127479553,0.6018735362997658,0.6030932255741224,0.80023698528021
ResNet+Attention Mechanism+Dense,89.99999761581421,0.3985395133495331,88.16666603088379,0.4423052668571472,491.7979180812836,20.637691259384155,0.7624914976416409,0.7638775338113094,0.8804058790151204
ResNet+Capsule Network+Dense,86.60714030265808,0.3055567145347595,88.08333277702332,0.2980201244354248,768.9846360683441,22.991647481918335,0.7610094426339099,0.7615722849344446,0.8799691807875032
