Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Mobilenet+Dense,89.10714387893677,0.2651794850826263,88.91666531562805,0.2674382627010345,183.9653642177581,9.158857107162476,0.7773126831310172,0.7803914689044718,0.8873958321743678
MobileNet+Dense+Dropout,53.928571939468384,0.6894407868385315,54.75000143051148,0.6891254186630249,100.1801073551178,9.224270343780518,0.0635832169279319,0.152412355141991,0.5307663636667075
MobileNet+Conv2D+GlobalAveragePooling+Dropout+Dense,48.750001192092896,0.6935076117515564,48.16666543483734,0.6936440467834473,157.18433499336243,9.004089832305908,0.0,0.0,0.5
MobileNet+LSTM+Dense,51.249998807907104,0.6930058002471924,51.83333158493042,0.6929298043251038,84.92827773094177,9.05596137046814,0.0,0.0,0.5
MobileNet+GRU+Dense,51.249998807907104,0.6928387880325317,51.83333158493042,0.692513644695282,171.2996735572815,9.15132737159729,0.0,0.0,0.5
MobileNet+Attention Mechanism +Dense,59.10714268684387,0.6726587414741516,58.41666460037232,0.6765435338020325,212.02738857269287,9.168968915939333,0.1465854868225274,0.1988097195170738,0.5715211562211417
MobileNet+Capsule Network+Dense,88.92857432365417,0.2810133695602417,89.083331823349,0.27796077728271484,184.9123170375824,9.843628644943237,0.7813325914591738,0.781342388211912,0.8905945771537289
