Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Densenet,88.7499988079071,0.2754234075546264,87.8333330154419,0.2844806611537933,716.6865518093109,14.323370695114136,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(2),88.7499988079071,0.2726473808288574,87.8333330154419,0.2862376570701599,574.7646100521088,14.37747597694397,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(1),89.10714387893677,0.2698329985141754,88.99999856948853,0.2819902896881103,504.7881045341492,14.381937742233276,0.0,0.0,0.5
Densenet+GlobalAveragePooling+Dense,89.10714387893677,0.2660630941390991,88.83333206176758,0.2789833545684814,432.4648678302765,14.418503046035768,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,90.17857313156128,0.27800053358078,89.33333158493042,0.2580894529819488,650.2870378494263,14.496589660644531,0.0,0.0,0.5
Densenet+LSTM+Dense,88.7499988079071,0.2784402370452881,87.33333349227905,0.2849778532981872,501.7536580562592,14.381300449371338,0.0,0.0,0.5
Densenet+GRU+Dense,88.7499988079071,0.2797069549560547,87.91666626930237,0.2894410490989685,430.8456933498383,14.43607473373413,0.0,0.0,0.5
Densenet+Attention Mechanism+Dense,50.535714626312256,0.7015255093574524,49.666666984558105,0.7174698114395142,504.0323603153229,14.382606744766235,0.0,0.0,0.5
Densenet+Capsule Network+Dense,89.99999761581421,0.29040205478668213,89.24999833106995,0.2713717222213745,839.5375208854675,18.558892011642456,0.0,0.0,0.5
