Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,88.92857432365417,0.2918358743190765,88.16666603088379,0.3238444030284881,570.7519359588623,20.773540019989014,0.7625788617161201,0.7635399865572795,0.880589459161762
Resnet+Dense+Dropout,88.7499988079071,0.2744882702827453,87.8333330154419,0.2971433699131012,286.099821805954,20.695219039916992,0.755980701304779,0.756589635435834,0.8774352184603744
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,89.46428298950195,0.2670014798641205,88.08333277702332,0.3032893538475036,289.23476815223694,20.782550573349,0.7611850565306701,0.7613135279401704,0.8803363410807863
ResNet+LSTM+Dense,85.35714149475098,0.3769584596157074,83.24999809265137,0.4312334060668945,1874.46377491951,21.072802543640137,0.6644463364551509,0.6644694850414755,0.8321215189310073
ResNet+GRU+Dense,81.60714507102966,0.410590648651123,81.41666650772095,0.4424605667591095,742.0154449939728,20.836829900741577,0.6277646404228683,0.6277725116610929,0.8138246976490615
ResNet+Attention Mechanism+Dense,88.21428418159485,0.3656653165817261,87.1666669845581,0.4175540506839752,393.2727177143097,20.618343353271484,0.7415326776543252,0.7505338247562593,0.8686790017690451
ResNet+Capsule Network+Dense,88.92857432365417,0.31256043910980225,87.00000047683716,0.3465243875980377,289.5937068462372,21.038700103759766,0.7398410139529712,0.7399892076856951,0.8701921472201515
