Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,88.39285969734192,0.2731485068798065,88.16666603088379,0.2890626192092895,713.7893636226654,21.88709020614624,0.7620537110684124,0.7667573189223423,0.8794879782819124
Resnet+Dense+Dropout,88.92857432365417,0.2767820954322815,87.08333373069763,0.2957729399204254,1001.0781700611116,21.66662883758545,0.7408907784978351,0.7416465982506991,0.8698333314789884
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,87.32143044471741,0.2806082665920257,86.75000071525574,0.3097876906394958,628.15442943573,22.16226816177368,0.7331573029307943,0.7418598390313621,0.8645373224001157
ResNet+LSTM+Dense,80.71428537368774,0.4150185883045196,82.833331823349,0.4208910465240478,873.2964704036713,22.220300436019897,0.6551069838045382,0.6576038812381129,0.8265111983889452
ResNet+GRU+Dense,82.14285969734192,0.3934621214866638,84.16666388511658,0.3915634751319885,622.6202178001404,22.15714955329895,0.6818557299457481,0.6846602856939377,0.8398012883988473
ResNet+Attention Mechanism+Dense,86.2500011920929,0.4487028121948242,86.50000095367432,0.4841903746128082,984.6556794643402,21.62854743003845,0.7287401486905851,0.7317375457691568,0.8631660343350505
ResNet+Capsule Network+Dense,88.7499988079071,0.2889669239521026,87.1666669845581,0.3101582825183868,583.1180362701416,22.85123324394226,0.7427674216609874,0.7429705954066207,0.8710655436753858
ResNet+Capsule Network+Dense,88.7499988079071,0.28896692395210266,87.1666669845581,0.31015828251838684,583.1180362701416,20.84711503982544,0.7427674216609874,0.7429705954066207,0.8710655436753858
