Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Mobilenet+Dense,89.82142806053162,0.2652096748352051,89.33333158493042,0.2668546736240387,99.72758889198305,9.073232173919678,0.7860390478737631,0.7867824532444777,0.8923942188942913
MobileNet+Dense+Dropout,59.82142686843872,0.6912043690681458,61.33333444595337,0.6913111805915833,85.50374817848206,9.05657148361206,0.2213371520630089,0.2239056616876371,0.6100590794290102
MobileNet+Conv2D+GlobalAveragePooling+Dropout+Dense,48.750001192092896,0.6938201189041138,48.16666543483734,0.6940461993217468,116.6700518131256,9.31544017791748,0.0,0.0,0.5
MobileNet+LSTM+Dense,48.750001192092896,0.6932848691940308,48.16666543483734,0.6933431029319763,143.6886749267578,9.200983762741089,0.0,0.0,0.5
MobileNet+GRU+Dense,48.750001192092896,0.6935155391693115,48.16666543483734,0.6936543583869934,200.1024956703186,9.292941570281982,0.0,0.0,0.5
MobileNet+Attention Mechanism +Dense,63.39285969734192,0.6610531210899353,59.6666693687439,0.6678125262260437,313.1613819599152,9.1111741065979,0.1776539350278645,0.2041568942491998,0.5872506369674785
MobileNet+Capsule Network+Dense,89.64285850524902,0.3040260970592499,87.99999952316284,0.3044568598270416,184.46030712127686,10.041381359100342,0.7590280799223535,0.7610939897689334,0.8784921950622504
