Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,87.85714507102966,0.2912474274635315,87.00000047683716,0.2978934943675995,562.2920002937317,19.186994791030884,0.7398869632235243,0.7399034200046716,0.8700038047425869
Resnet+Dense+Dropout,88.57142925262451,0.2762127220630646,86.33333444595337,0.2987806797027588,1079.6798677444458,17.721965551376343,0.7258027761540062,0.7298197038493179,0.8619743155169262
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,87.61904835700989,0.2561123371124267,87.55555748939514,0.2936584055423736,917.0058963298798,19.18306493759156,0.750853967798864,0.7509728948184086,0.875263737838412
ResNet+LSTM+Dense,84.28571224212646,0.3834018409252167,79.11111116409302,0.4443264305591583,576.6987040042877,19.53335928916931,0.5808332796575318,0.584476543850207,0.789627382287688
ResNet+GRU+Dense,86.42857074737549,0.3476113677024841,82.77778029441833,0.3915883600711822,648.0512716770172,19.387678623199463,0.6555929726153208,0.6558666528868632,0.828028105682902
ResNet+Attention Mechanism+Dense,87.85714507102966,0.309273213148117,86.77777647972107,0.3186667263507843,887.2291314601898,26.363093852996823,0.7358138708818045,0.7373435937112337,0.8684868489319544
ResNet+Capsule Network+Dense,87.61904835700989,0.3158584237098694,88.88888955116272,0.2772601842880249,541.7241597175598,16.845579862594604,0.7770632793496193,0.7815509569720736,0.8875179737028052
