Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Densenet,89.99999761581421,0.2634244561195373,89.66666460037231,0.2674840986728668,325.3327867984772,10.966375350952148,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(2),89.04761672019958,0.2703759372234344,88.77778053283691,0.3012991845607757,325.7661411762237,11.053224802017212,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(1),88.57142925262451,0.2785869240760803,89.8888885974884,0.3115969896316528,380.4132671356201,10.91075325012207,0.0,0.0,0.5
Densenet+GlobalAveragePooling+Dense,89.76190686225891,0.2604797184467315,89.66666460037231,0.2687087655067444,1034.0304267406464,11.005053758621216,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,87.38095164299011,0.3121550381183624,89.33333158493042,0.2664009034633636,480.7721617221832,11.5413076877594,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,87.85714507102966,0.3084565997123718,87.55555748939514,0.2941833436489105,328.65493416786194,11.021060466766356,0.0,0.0,0.5
Densenet+LSTM+Dense,88.57142925262451,0.276237815618515,87.11110949516296,0.3052335977554321,544.1262173652649,11.0039541721344,0.0,0.0,0.5
Densenet+GRU+Dense,86.66666746139526,0.2890921533107757,86.88889145851135,0.3036361336708069,547.7874023914337,11.105222940444946,0.0,0.0,0.5
Densenet+Attention Mechanism+Dense,46.666666865348816,0.7566304206848145,51.88888907432556,0.7514411211013794,659.7332923412323,11.063448667526243,0.0,0.0,0.5
Densenet+Capsule Network+Dense,86.42857074737549,0.3129170536994934,87.44444251060486,0.2878125309944153,906.6698801517487,13.974676132202148,0.0,0.0,0.5
