Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,89.04761672019958,0.2968296408653259,87.77777552604675,0.2837005853652954,390.4744701385498,18.78963875770569,0.7554359909288986,0.7554434594365057,0.8777590560285405
Resnet+Dense+Dropout,88.09523582458496,0.2844168841838836,87.44444251060486,0.2898727655410766,475.5060267448425,18.72293972969055,0.7483968649804061,0.7495590302200799,0.8736899579501827
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,89.52381014823914,0.2582849562168121,88.66666555404663,0.2798761129379272,437.68182039260864,18.79660058021545,0.7729015659401826,0.7740073640872179,0.885946664426645
ResNet+LSTM+Dense,83.09524059295654,0.3920718133449554,81.00000023841858,0.4052170217037201,517.2422769069672,19.117717027664185,0.6201650640709222,0.6207181119546141,0.8104027591795591
ResNet+GRU+Dense,80.23809790611267,0.3930799067020416,82.22222328186035,0.3754684627056122,608.0638537406921,17.032644748687744,0.6431845776445226,0.647899730593605,0.8206483874315023
ResNet+Attention Mechanism+Dense,86.90476417541504,0.3268509209156036,87.55555748939514,0.3317586183547973,282.5244648456573,15.587959051132202,0.7516641948056427,0.7567108062663651,0.8768943418042385
ResNet+Capsule Network+Dense,87.38095164299011,0.3384608328342438,89.4444465637207,0.2916714549064636,254.40693593025208,15.701304197311401,0.7886822671056144,0.7887778921863837,0.8941910969023465
