Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Densenet,89.52381014823914,0.2621570229530334,90.2222216129303,0.2710926830768585,379.4319875240326,10.959574222564695,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(2),88.57142925262451,0.2664413750171661,89.66666460037231,0.2905113101005554,325.8843371868133,10.937771081924438,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(1),89.52381014823914,0.2834314703941345,89.66666460037231,0.3215335607528686,328.49212861061096,10.971235752105711,0.0,0.0,0.5
Densenet+GlobalAveragePooling+Dense,87.38095164299011,0.260901927947998,89.55555558204651,0.2655069231986999,2409.394633293152,15.590178966522217,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,86.90476417541504,0.3357329964637756,88.66666555404663,0.2885343432426452,639.433671951294,11.614367008209229,0.0,0.0,0.5
Densenet+GlobalAveragePooling+Dense,88.33333253860474,0.2671012282371521,88.77778053283691,0.2696598768234253,1643.8346467018127,14.589260578155518,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,86.90476417541504,0.3199434876441955,88.88888955116272,0.2891125977039337,439.6340019702912,11.096004009246826,0.0,0.0,0.5
Densenet+LSTM+Dense,88.09523582458496,0.2829733490943908,86.77777647972107,0.3211846947669983,326.64073419570923,10.997856855392456,0.0,0.0,0.5
Densenet+GRU+Dense,87.14285492897034,0.2981556951999664,87.66666650772095,0.3096310496330261,604.1191160678864,11.093897581100464,0.0,0.0,0.5
Densenet+Attention Mechanism+Dense,46.666666865348816,0.7191739082336426,52.99999713897705,0.7035590410232544,439.9637269973755,11.02615737915039,0.0,0.0,0.5
Densenet+Capsule Network+Dense,87.85714507102966,0.6008637547492981,88.22222352027893,0.4329771399497986,542.6329071521759,13.958054065704346,0.0,0.0,0.5
