Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,88.80952596664429,0.2881323397159576,87.88889050483704,0.2927617132663727,390.6657054424286,18.857945919036865,0.7571445546907491,0.7597304767927305,0.8778109388819987
Resnet+Dense+Dropout,88.80952596664429,0.2828922569751739,87.22222447395325,0.2971445620059967,475.6384642124176,18.75727272033692,0.744249948108685,0.7442665127335869,0.8720642952084949
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,89.28571343421936,0.2504970133304596,87.88889050483704,0.2847959399223327,394.7397153377533,19.77824592590332,0.7572767490424679,0.7586492141953873,0.8780827062096364
ResNet+LSTM+Dense,82.38095045089722,0.4052705764770508,77.77777910232544,0.4361114799976349,689.5806488990784,19.10409665107727,0.5577417309988648,0.5724942225239871,0.7804169404928377
ResNet+GRU+Dense,84.52380895614624,0.3653609752655029,80.88889122009277,0.4125005006790161,377.4107744693756,19.530514240264893,0.6185444563272829,0.6220792559823943,0.8100791089984634
ResNet+Attention Mechanism+Dense,88.09523582458496,0.3115005493164062,87.88889050483704,0.3145217299461365,241.74502825737,15.64354944229126,0.7578566985575071,0.7583977165650483,0.8792784824512425
ResNet+Capsule Network+Dense,86.19047403335571,0.3316909372806549,87.88889050483704,0.2934019863605499,254.450523853302,15.68796706199646,0.7577777777777778,0.7580042770932951,0.8791154220546598
