Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,88.57142925262451,0.3111844062805176,87.66666650772095,0.2973363101482391,260.37228417396545,18.80895185470581,0.7531187600086989,0.7531653340566646,0.8764570434679488
Resnet+Dense+Dropout,88.57142925262451,0.2988899350166321,86.33333444595337,0.3016952574253082,302.60145807266235,18.735907554626465,0.7259521121739647,0.7284315008193963,0.8622460828445639
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,87.61904835700989,0.2453178912401199,87.77777552604675,0.2916460931301117,698.8291034698486,18.40659046173096,0.7548230515862205,0.7584793450875473,0.8765089263214069
ResNet+LSTM+Dense,85.47618985176086,0.3094857037067413,81.99999928474426,0.4247198104858398,689.3246831893921,19.07669305801392,0.6392357141796695,0.6404820435496204,0.8191314316208698
ResNet+GRU+Dense,82.14285969734192,0.3656452000141144,83.99999737739563,0.394844651222229,977.9859476089478,15.773074388504028,0.6797738650009637,0.6797805884089438,0.8398499844351439
ResNet+Attention Mechanism+Dense,88.80952596664429,0.3136593401432037,88.55555653572083,0.3061021566390991,281.8712902069092,15.588719606399536,0.7713346949649231,0.772938263936251,0.8862752558318798
ResNet+Attention Mechanism+Dense,88.33333253860474,0.3212513327598572,89.55555558204651,0.2851144969463348,846.156928062439,16.848958015441895,0.7910316515415738,0.791062927809028,0.8956018163939934
ResNet+Capsule Network+Dense,87.61904835700989,0.3060991168022156,87.88889050483704,0.2843337655067444,217.97856521606445,15.694647789001465,0.7582767423294139,0.762793646360342,0.8801481378996833
