Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Mobilenet+Dense,89.99999761581421,0.2622933089733124,89.99999761581421,0.2535169720649719,102.67975568771362,6.647735357284546,0.800010863607409,0.8002954327766927,0.900266331981085
MobileNet+Dense+Dropout,52.14285850524902,0.6916689276695251,51.77778005599976,0.6919437050819397,81.91974401473999,6.533952713012695,0.0118847047037931,0.0583096167860477,0.5058034677511006
MobileNet+Conv2D+GlobalAveragePooling+Dropout+Dense,48.571428656578064,0.6937736868858337,48.77777695655823,0.6937039494514465,84.10162901878357,6.608411550521851,0.0,0.0,0.5
MobileNet+LSTM+Dense,51.428574323654175,0.6928734183311462,51.22222304344177,0.6929237842559814,207.1051185131073,6.763563394546509,0.0,0.0,0.5
MobileNet+GRU+Dense,48.571428656578064,0.6933613419532776,48.77777695655823,0.693333625793457,67.77828764915466,6.613017559051514,0.0,0.0,0.5
MobileNet+Attention Mechanism +Dense,51.428574323654175,0.6927441358566284,51.22222304344177,0.6928753852844238,133.01781225204468,6.5467164516448975,0.0,0.0,0.5
MobileNet+Capsule Network+Dense,86.42857074737549,0.3100680708885193,87.11110949516296,0.305596649646759,83.29094552993774,6.6095476150512695,0.742460049238481,0.743898825840999,0.8717949984929266
MobileNet+Capsule Network+Dense,85.71428656578064,0.338674932718277,87.33333349227905,0.3253268897533417,72.73766136169434,6.556621313095093,0.7469553250366249,0.7488467819556781,0.8741272562864724
MobileNet+Capsule Network+Dense,84.76190567016602,0.3287738263607025,86.88889145851135,0.28863760828971863,72.47858548164368,6.578816890716553,0.7383037549222058,0.7425229437477953,0.8701149822857115
