Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
MObilenet+Dense,88.5714292526245,0.275374561548233,89.3333315849304,0.266087651252747,71.1584315299988,6.50980591773987,0.786724593320333,0.787222082429884,0.893704386324668
MobileNet+Dense+Dropout,52.8571426868439,0.69121915102005,52.1111130714417,0.691622018814087,93.6298716068268,6.57640790939331,0.0190971344183363,0.0705769910641093,0.509329031174183
MobileNet+Conv2D+GlobalAveragePooling+Dropout+Dense,48.5714286565781,0.693389117717743,48.7777769565582,0.693358242511749,74.0669801235199,6.69469499588013,0.0,0.0,0.5
MobileNet+LSTM+Dense,51.4285743236542,0.692747354507446,51.2222230434418,0.692882478237152,138.198297262192,6.72897148132324,0.0,0.0,0.5
MobileNet+GRU+Dense,51.4285743236542,0.692831635475159,51.2222230434418,0.693005919456482,112.652601480484,6.59389662742615,0.0,0.0,0.5
MobileNet+Attention Mechanism +Dense,58.571428060531616,0.676677405834198,57.777780294418335,0.6772255897521973,235.3064148426056,6.426295518875122,0.1469832639114059,0.1596665432501255,0.5727965846258752
MobileNet+Capsule Network+Dense,85.47618985176086,0.3545681834220886,88.88888955116272,0.27478647232055664,62.81103229522705,6.715815305709839,0.7775965601601305,0.777627331973992,0.8887137499444112
