Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Densenet,89.28571343421936,0.2625638842582702,89.66666460037231,0.2696219682693481,542.3388478755951,10.939037322998049,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(2),87.85714507102966,0.2831996381282806,87.00000047683716,0.3257049024105072,326.059711933136,10.958324432373049,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(1),89.28571343421936,0.2801358997821808,89.11111354827881,0.32550248503685,326.7216136455536,10.9229474067688,0.0,0.0,0.5
Densenet+GlobalAveragePooling+Dense,88.80952596664429,0.2602733671665191,89.33333158493042,0.2786842286586761,841.7770278453827,10.98655652999878,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,86.66666746139526,0.3231856524944305,89.7777795791626,0.2710307240486145,554.9125723838806,11.496026515960692,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,87.85714507102966,0.3167917430400848,87.77777552604675,0.2946870028972626,492.4127888679504,11.018831729888916,0.0,0.0,0.5
Densenet+LSTM+Dense,87.61904835700989,0.2798359394073486,87.11110949516296,0.3185416460037231,398.2798473834992,10.989094734191896,0.0,0.0,0.5
Densenet+GRU+Dense,87.85714507102966,0.2909113466739654,87.99999952316284,0.2983297705650329,493.07226037979126,11.205886125564575,0.0,0.0,0.5
Densenet+Attention Mechanism+Dense,46.666666865348816,0.7307844161987305,53.66666913032532,0.7017975449562073,713.2579643726349,11.117044687271118,0.0,0.0,0.5
Densenet+Capsule Network+Dense,87.61904835700989,0.559955894947052,87.77777552604675,0.4332475960254669,542.7476010322571,14.026606559753418,0.0,0.0,0.5
