Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
CNN+Dense,75.47468543052673,0.60160893201828,75.42435424354244,0.6382189840473629,230.16669917106628,3.347459077835083,0.5070945654394327,0.5072551862649382,0.7532791786885031
CNN+Dense+Dropout,77.84810066223145,0.6307774186134338,78.67158671586716,0.5652380384012459,323.8508849143982,3.547985553741455,0.5740268357817675,0.5756555943425643,0.7879238924996835
CNN+GlobbalAveragePooling+Dense,70.41139006614685,0.5457158088684082,68.5608856088561,0.5822689416435886,798.9542264938354,3.238048553466797,0.3706511002130429,0.3707304041028437,0.6854869334823241
CNN+Conv2D+GlobalAveragePooling+Dropout+Dense,59.01898741722107,0.6671015620231628,57.12177121771218,0.6754728323127382,870.3854274749756,7.896194219589233,0.1427813885927766,0.1429721446167725,0.5715461136549147
CNN+LSTM+Dense,54.113924503326416,0.6915173530578613,55.055350553505534,0.6904575546851052,404.5466094017029,3.367072105407715,0.0695937284013534,0.1134747341323944,0.5336778744374653
CNN+GRU+Dense,79.58860993385315,0.478191465139389,77.93357933579335,0.5107779870924957,166.56884765625,3.863317251205444,0.5596695116689292,0.5622514194177487,0.780966140979585
CNN+Attention Mechanism+Dense,49.84177350997925,0.6877738833427429,47.97047970479705,0.6845737756933699,162.841299533844,3.3921163082122803,0.0013569272810334,0.0260561751979416,0.5007082152974505
CNN+Capsule Network+Dense,77.21518874168396,0.46287164092063904,77.41697416974169,0.4941753947418507,207.03486919403076,3.367704391479492,0.5468623636641823,0.5472080638383915,0.7730229989916935
