Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,89.2405092716217,0.3293484151363373,85.46125292778015,0.4115744233131408,322.7219913005829,23.308693408966064,0.7104207732020833,0.7174505977202994,0.8573093493149191
Resnet+Dense+Dropout,87.8164529800415,0.2996818423271179,87.52767443656921,0.3154962062835693,481.9811673164368,23.12695980072021,0.7494411540401582,0.7509687792454715,0.8737183376473721
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,85.91772317886353,0.2934362292289734,86.71586513519287,0.3452918231487274,377.4067039489746,23.12933135032653,0.7355570108292603,0.7442959461741486,0.8701576188252138
ResNet+LSTM+Dense,82.27847814559937,0.4207173883914947,78.52398753166199,0.4618836343288421,901.2600469589232,23.676553964614868,0.5734591773264461,0.5861135006946976,0.7892442939017097
ResNet+LSTM+Dense,83.54430198669434,0.3835326731204986,81.6236138343811,0.4290505349636078,1055.7224814891815,24.83057713508606,0.6306952205298847,0.6323673787328753,0.814386482581614
ResNet+GRU+Dense,82.27847814559937,0.4068195819854736,80.29520511627197,0.4262349903583526,556.6174683570862,23.544851303100582,0.6062585501921447,0.6074811285198835,0.803940034134013
ResNet+Attention Mechanism+Dense,87.97468543052673,0.446164458990097,88.48708271980286,0.5138528347015381,553.4376156330109,23.15508079528809,0.7691324719579724,0.7692976086506079,0.8842313517854883
ResNet+Capsule Network+Dense,87.5,0.2862396538257599,87.15867400169373,0.32413795590400696,394.0754294395447,23.875269412994385,0.741851069187899,0.7442433558108744,0.8696796553424968
