Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,88.92405033111572,0.3097282946109772,87.97047734260559,0.3280074000358581,541.4310672283173,23.29188203811645,0.7591179418497744,0.7591850933315777,0.8797714505209584
Resnet+Dense+Dropout,85.60126423835754,0.3163314461708069,85.23985147476196,0.3376530408859253,856.1781928539276,21.519978523254395,0.7038685045031656,0.7042422378896946,0.8514526597903944
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,88.76582384109497,0.2825417816638946,87.67527937889099,0.2968971729278564,324.1960799694061,23.17290997505188,0.7525298203288957,0.753544011619465,0.8754457718782873
ResNet+LSTM+Dense,79.7468364238739,0.4015580713748932,81.40221238136292,0.3994931578636169,450.6119539737701,23.587730646133423,0.6271993990820279,0.6272433282889787,0.8134436505061174
ResNet+GRU+Dense,73.10126423835754,0.4999330043792724,72.4723219871521,0.5025007128715515,488.9168159961701,24.675754070281982,0.4389433265210745,0.4814042080735399,0.7157448591644587
ResNet+Attention Mechanism+Dense,89.2405092716217,0.3940969407558441,87.89668083190918,0.4453039765357971,607.72895860672,24.21660876274109,0.7580462523409259,0.7591176920194288,0.8798718446771455
ResNet+Capsule Network+Dense,86.23417615890503,0.280428022146225,86.64206862449646,0.3220541179180145,772.326996088028,25.746329307556152,0.732484208436638,0.73252341338755,0.8664015678948218
