Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,88.92405033111572,0.3200103044509887,88.33948373794556,0.3598450422286987,481.8751974105835,23.205571174621586,0.7662308449932191,0.7663147255269154,0.8828771219177902
Resnet+Dense+Dropout,88.76582384109497,0.2954867482185364,87.82287836074829,0.3067553341388702,695.8604505062103,23.06730461120605,0.7558587884830212,0.7559589259592071,0.8776708119268257
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,88.13291192054749,0.2747870981693268,87.82287836074829,0.3162587285041809,593.9266753196716,23.16354894638061,0.7562835406499324,0.7565220798513815,0.8785416221076662
ResNet+LSTM+Dense,84.65189933776855,0.3725639879703522,84.50184464454651,0.4008235037326813,1278.258873462677,23.6193585395813,0.689448789335941,0.6894518048594745,0.8446815104519046
ResNet+GRU+Dense,82.27847814559937,0.376964807510376,85.09225249290466,0.3602418303489685,695.8195023536682,23.418805360794067,0.6995222391526771,0.7067656145592255,0.8476726015617839
ResNet+Attention Mechanism+Dense,88.13291192054749,0.4609570503234863,88.56088519096375,0.5422759652137756,332.16277861595154,23.146461725234985,0.7706266716321901,0.7707693124265341,0.8850017678101415
ResNet+Capsule Network+Dense,88.60759735107422,0.2947981059551239,87.38007545471191,0.3348983824253082,331.5289087295532,24.090041160583496,0.7473897320557366,0.7475732883987378,0.874043527414152
