Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,89.2405092716217,0.2978196144104004,87.6014769077301,0.3077678680419922,812.4326293468475,24.96842193603516,0.7509392840653222,0.7523992084551828,0.8744887536720254
Resnet+Dense+Dropout,88.29113841056824,0.3035750687122345,86.56826615333557,0.3202113807201385,1075.4209208488464,24.19751000404358,0.7312902340055527,0.7317497658297316,0.8661909584149945
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,89.39873576164246,0.2628408670425415,87.52767443656921,0.2942796647548675,1082.1089017391205,24.31853485107422,0.7500335660946422,0.7500540776459391,0.874900151464227
ResNet+LSTM+Dense,78.63923907279968,0.434943675994873,79.18819189071655,0.4240156710147857,831.3220572471619,24.7961585521698,0.5835440444324316,0.5837987437824291,0.7921349908554018
ResNet+GRU+Dense,80.22152185440063,0.3702230453491211,80.73800802230835,0.4196524024009704,1045.5027446746826,24.647778034210205,0.6129456971530323,0.6144399923330474,0.8055768953761944
ResNet+Attention Mechanism+Dense,87.8164529800415,0.4440310895442962,88.26568126678467,0.4417276084423065,943.8021326065063,24.506153106689453,0.7643553007342397,0.7655070835916462,0.8812980964394994
ResNet+Capsule Network+Dense,89.08227682113647,0.2605744004249573,87.45387196540833,0.29214614629745483,828.9754474163055,26.17063856124878,0.747722548467717,0.7505076866475098,0.8725125165322986
